title,price_gbp,rating,in_stock,category,price_inr
The Marriage of Opposites,28.08,4,True,Historical Fiction,2962.4399999999996
Glory over Everything: Beyond The Kitchen House,45.84,3,True,Historical Fiction,4836.120000000001
"Love, Lies and Spies",20.55,2,True,Historical Fiction,2168.025
A Paris Apartment,39.01,4,True,Historical Fiction,4115.554999999999
Lilac Girls,17.28,2,True,Historical Fiction,1823.0400000000002
The Constant Princess (The Tudor Court #1),16.62,3,True,Historical Fiction,1753.41
The Invention of Wings,37.34,1,True,Historical Fiction,3939.3700000000003
World Without End (The Pillars of the Earth #2),32.97,4,True,Historical Fiction,3478.335
The Passion of Dolssa,28.32,5,True,Historical Fiction,2987.76
Girl With a Pearl Earring,26.77,1,True,Historical Fiction,2824.235
Voyager (Outlander #3),21.07,5,True,Historical Fiction,2222.885
The Red Tent,35.66,5,True,Historical Fiction,3762.1299999999997
The Last Painting of Sara de Vos,55.55,2,True,Historical Fiction,5860.525
The Guernsey Literary and Potato Peel Pie Society,49.53,1,True,Historical Fiction,5225.415
Girl in the Blue Coat,46.83,2,True,Historical Fiction,4940.565
Between Shades of Gray,20.79,5,True,Historical Fiction,2193.345
While You Were Mine,41.32,5,True,Historical Fiction,4359.26
The Secret Healer,34.56,3,True,Historical Fiction,3646.0800000000004
Starlark,25.83,3,True,Historical Fiction,2725.0649999999996
Lost Among the Living,27.7,4,True,Historical Fiction,2922.35
A Spy's Devotion (The Regency Spies of London #1),16.97,5,True,Historical Fiction,1790.3349999999998
Soumission,50.1,1,True,Fiction,5285.55
Private Paris (Private #10),47.61,5,True,Fiction,5022.855
"We Love You, Charlie Freeman",50.27,5,True,Fiction,5303.485000000001
Thirst,17.27,5,True,Fiction,1821.985
The Murder That Never Was (Forensic Instincts #5),54.11,3,True,Fiction,5708.605
Tuesday Nights in 1980,21.04,2,True,Fiction,2219.72
The Vacationers,42.15,4,True,Fiction,4446.825
The Regional Office Is Under Attack!,51.36,5,True,Fiction,5418.48
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,True,Fiction,5647.415
The Time Keeper,27.88,5,True,Fiction,2941.3399999999997
The Testament of Mary,52.67,4,True,Fiction,5556.685
The First Hostage (J.B. Collins #2),25.85,3,True,Fiction,2727.175
Take Me with You,45.21,3,True,Fiction,4769.655
Still Life with Bread Crumbs,26.41,3,True,Fiction,2786.255
Shtum,55.84,4,True,Fiction,5891.120000000001
My Name Is Lucy Barton,41.56,1,True,Fiction,4384.58
My Mrs. Brown,24.48,3,True,Fiction,2582.64
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,True,Fiction,3048.95
I Am Pilgrim (Pilgrim #1),10.6,4,True,Fiction,1118.3
Eligible (The Austen Project #4),27.09,3,True,Fiction,2857.995
Eight Hundred Grapes,14.39,4,True,Fiction,1518.145
Dear Mr. Knightley,11.21,5,True,Fiction,1182.6550000000002
Cometh the Hour (The Clifton Chronicles #6),25.01,3,True,Fiction,2638.5550000000003
Balloon Animals,17.03,3,True,Fiction,1796.6650000000002
A Man Called Ove,39.72,1,True,Fiction,4190.46
The Silent Sister (Riley MacPherson #1),46.29,5,True,Fiction,4883.595
The Dinner Party,56.54,2,True,Fiction,5964.97
The Improbability of Love,59.45,1,True,Fiction,6271.975
Mothering Sunday,13.34,2,True,Fiction,1407.37
Lies and Other Acts of Love,45.14,1,True,Fiction,4762.27
Daredevils,16.34,3,True,Fiction,1723.87
11/22/63,48.48,3,True,Fiction,5114.639999999999
The Shack,28.03,1,True,Fiction,2957.165
The High Mountains of Portugal,51.15,1,True,Fiction,5396.325
Miller's Valley,58.54,2,True,Fiction,6175.97
Hystopia: A Novel,21.96,4,True,Fiction,2316.78
The Bourne Identity (Jason Bourne #1),42.78,4,True,Fiction,4513.29
Sister Dear,40.2,4,True,Fiction,4241.1
Memoirs of a Geisha,49.67,3,True,Fiction,5240.185
Me Before You (Me Before You #1),19.02,1,True,Fiction,2006.61
Deception Point,40.32,4,True,Fiction,4253.76
The Little Paris Bookshop,24.73,3,True,Fiction,2609.015
The Firm,45.56,3,True,Fiction,4806.58
The Expatriates,44.58,2,True,Fiction,4703.19
Siddhartha,34.22,5,True,Fiction,3610.21
Last One Home (New Beginnings #1),59.98,3,True,Fiction,6327.889999999999
Digital Fortress,58.0,5,True,Fiction,6119.0
Atlas Shrugged,26.58,5,True,Fiction,2804.1899999999996
Three-Martini Lunch,23.21,3,True,Fiction,2448.655
The Nightingale,26.26,4,True,Fiction,2770.4300000000003
The Infinities,27.41,1,True,Fiction,2891.755
The Husband's Secret,52.51,5,True,Fiction,5539.804999999999
The Da Vinci Code (Robert Langdon #2),22.96,2,True,Fiction,2422.28
The Art of Fielding,22.1,1,True,Fiction,2331.55
Lila (Gilead #3),12.47,3,True,Fiction,1315.585
Jurassic Park (Jurassic Park #1),44.97,1,True,Fiction,4744.335
Inferno (Robert Langdon #4),41.0,5,True,Fiction,4325.5
Crazy Rich Asians (Crazy Rich Asians #1),49.13,5,True,Fiction,5183.215
Big Little Lies,22.11,1,True,Fiction,2332.605
The Course of Love,16.78,3,True,Fiction,1770.2900000000002
When I'm Gone,51.96,3,True,Fiction,5481.78
The Silent Wife,12.34,5,True,Fiction,1301.87
The Bette Davis Club,30.66,3,True,Fiction,3234.63
Kitchens of the Great Midwest,57.2,5,True,Fiction,6034.6
Bright Lines,39.07,5,True,Fiction,4121.885
